no,creation_date,q1_1,q1_2,q1_3_1,q1_3_2,q1_3_3,q1_3_3_r,q2_1,q2_2,q2_3_1,q2_3_2,q2_3_2_r,q2_3_3,q2_3_3_o,q2_4_1,q2_4_1_o,q2_4_2,q2_5_1,q2_5_1_o,q2_5_2,q2_5_2_o,q2_6_1,q2_6_2,q2_6_3,q2_6_3_o,q2_6_4,q2_6_5,q2_6_6,q2_6_6_o,q2_6_7,q2_6_8,q2_7_1,q2_7_1_o,q2_7_2,q2_7_2_o,q3_1,q3_2,q3_2_o,q3_3,q3_3_o,q4_1_1,q4_1_2,q4_1_3,q4_1_4,q4_2_1,q4_2_1_o,q4_2_2,q4_2_2_o,q4_3,q4_4_1,q4_4_2,q4_4_2_o,q4_4_3,q4_4_3_o,q4_5,q4_6_1,q4_6_2,q4_6_3,q4_6_4,q4_6_5,q4_6_6,q4_6_7,q4_6_8,q4_6_9,weight
4569,2018/6/5 下午 14:08:54.143000,1,5,2,1,2,2,2,2,199909,200310,92,2, ,1,98,1,22, ,1,",",2,2,98, ,98,98,"2,3,6,7,10", ,2,98,5, ,4, ,1,"2,7,9", ,6, ,1,1,3,1,3, ,31, ,2,1,98, ,98, ,1,3,3,3,2,2,2,2,1,3,.978818047164717
4691,2018/6/5 下午 13:11:31.450000,1,2,2,1,2,2,1,1,201102,201411,103,2, ,1,98,2,12, ,1,",",1,2,98, ,98,98,"3,10", ,4,98,1, ,3, ,1,13, , , ,1,1,3,1,3, ,32, ,1,1,98, ,98, ,1,1,98,1,98,98,98,98,98,98,1.09318461667454
3560,2018/6/8 上午 08:59:47.131000,2,4,2,1,2,2,1,2,200008,200905,97,1, ,1,98,2,60, ,1,",",1,2,98, ,98,98,"3,4,7,10", ,3,3,1, ,4, ,5,9, ,"1,2,3", ,1,1,4,98,2, ,21, ,1,2,1, ,11, ,5,5,5,5,5,5,5,5,5,5,.570514873735886
3081,2018/6/13 下午 18:55:12.438000,2,3,1,1,2,2,1,3,199809,201506,103,1, ,5,98,1,44, ,1,",",2,2,98, ,98,98,"2,3,5,6,10", ,3,98,7, ,4, ,4,"9,10,11", ,"2,3,4", ,1,2,3,1,1, ,11, ,4,2,3, ,32, ,4,2,4,4,2,4,2,2,98,98,1.08685210284319
4849,2018/6/5 上午 11:10:58.825000,1,2,2,1,2,2,1,2,201007,201703,105,2, ,1,98,1,14, ,1,",",1,2,98, ,98,98,"3,6,10", ,2,98,5, ,9, ,3,10, ,"4,6,7", ,1,1,2,98,1, ,12, ,6,1,98, ,98, ,5,5,3,6,3,1,5,4,3,6,4.2479747372095
2737,2018/6/13 下午 22:06:14.300000,2,3,1,1,2,2,1,2,200809,201506,103,1, ,1,98,1,43, ,1,",",2,2,98, ,98,98,"3,6, 10", ,1,98,4, ,1, ,2,"1,4,10", ,"6,11", ,1,2,3,3,1, ,11, ,2,1,98, ,98, ,2,2,98,98,2,98,98,98,98,98,.886015270450451
1756,2018/6/19 上午 00:02:58.002000,1,4,2,1,2,2,2,4,200608,201507,103,1, ,1,98,1,71, ,1,",",2,2,98, ,98,98,"3,4,6,10", ,3,1,1, ,2, ,2,"1,4", ,12,經濟資源提供有限 以至於需要在外頭接工作,1,2,4,98,1, ,12, ,2,2,1, ,11, ,3,3,5,3,98,4,2,4,6,6,1.01812440531836
4415,2018/6/5 下午 15:11:01.129000,2,3,1,1,2,2,1,1,200309,200903,97,2, ,7,99,2,15, ,99,",",1,2,98, ,98,98,"3,10", ,4,98,1, ,7, ,1,"1,2,4", ,6, ,1,1,4,98,1, ,11, ,3,1,98, ,98, ,2,1,98,98,98,98,98,1,98,98,.307419852327453
2806,2018/6/13 下午 21:22:58.712000,2,4,2,1,2,2,1,2,200309,200806,96,2, ,7,1,2,60, ,1,",",2,2,98, ,98,98,"2,3,5,10", ,5,98,1, ,4, ,2,"1,4,5", ,12, ,1,1,3,1,1, ,11, ,2,1,98, ,98, ,1,1,2,98,1,98,98,98,98,98,.441987034684849
1272,2018/6/25 上午 08:06:40.941000,2,7,1,1,2,2,1,2,199811,200609,95,2, ,7,1,2,21, ,1,",",2,2,98, ,98,98,"2,6,7,10", ,98,98,10, ,10, ,1,"1,2", ,"6,12", ,3,98,98,98,98, ,98, ,98,98,98, ,98, ,3,6,3,6,6,6,2,6,6,6,.532457312050228
3066,2018/6/13 下午 19:01:45.699000,1,5,2,1,2,2,1,2,200008,200409,93,2, ,7,1,2,72, ,1,",",1,2,98, ,98,98,"2,6,10", ,98,98,4, ,2, ,1,"1,9,11", ,3, ,2,98,98,98,98, ,98, ,98,98,98, ,98, ,3,3,3,98,3,3,3,2,3,3,.894867477188934
