no,,性別,年齡,目前婚姻狀態,進修博士時婚姻狀態,,決定進修博士時婚姻與子女狀態,入學年齡,畢業年齡,,,,是否曾休學,,學校類型,,博士與碩士學校是否相同,就讀科系,,博士與碩士學位相關度,,就學身分,就讀博士時是全職/在職學生,,,,,,,,,就讀博士的首要動機為?,,,,您對博士修業整體滿意度為?,,,,,目前就業情況為?,工作類型,此工作為?,,目前工作的機構別為?,,目前工作的職業別為?,,您對目前工作的滿意度為何?,您目前的工作與您當初獲得博士學位時原有規劃之職涯機構別與職業別是否符合?,,,,,整體而言，您認為您的博士學位效益如何?
4569,,1,5,2,1,,2,2,2,,,,2,,1,,1,22,,1,,2,2,,,,,,,,,5,,,,1,,,,,1,1,3,,3,,31, ,2,1,,,,,1
4691,,1,2,2,1,,2,1,1,,,,2,,1,,2,12,,1,,1,2,,,,,,,,,1,,,,1,,,,,1,1,3,,3,,32, ,1,1,,,,,1
3560,,2,4,2,1,,2,1,2,,,,1,,1,,2,60,,1,,1,2,,,,,,,,,1,,,,5,,,,,1,1,4,,2,,21, ,1,2,,,,,5
3081,,2,3,1,1,,2,1,3,,,,1,,5,,1,44,,1,,2,2,,,,,,,,,7,,,,4,,,,,1,2,3,,1,,11, ,4,2,,,,,4
4849,,1,2,2,1,,2,1,2,,,,2,,1,,1,14,,1,,1,2,,,,,,,,,5,,,,3,,,,,1,1,2,,1,,12, ,6,1,,,,,5
2737,,2,3,1,1,,2,1,2,,,,1,,1,,1,43,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,2,3,,1,,11, ,2,1,,,,,2
1756,,1,4,2,1,,2,2,4,,,,1,,1,,1,71,,1,,2,2,,,,,,,,,1,,,,2,,,,,1,2,4,,1,,12, ,2,2,,,,,3
4415,,2,3,1,1,,2,1,1,,,,2,,7,,2,15,,99,,1,2,,,,,,,,,1,,,,1,,,,,1,1,4,,1,,11, ,3,1,,,,,2
2806,,2,4,2,1,,2,1,2,,,,2,,7,,2,60,,1,,2,2,,,,,,,,,1,,,,2,,,,,1,1,3,,1,,11, ,2,1,,,,,1
1272,,2,7,1,1,,2,1,2,,,,2,,7,,2,21,,1,,2,2,,,,,,,,,10,,,,1,,,,,3,98,98,,98,,98, ,98,98,,,,,3
3066,,1,5,2,1,,2,1,2,,,,2,,7,,2,72,,1,,1,2,,,,,,,,,4,,,,1,,,,,2,98,98,,98,,98, ,98,98,,,,,3
3899,,2,3,2,1,,2,1,1,,,,2,,5,,1,71,,1,,1,2,,,,,,,,,3,,,,2,,,,,1,2,4,,6,,63, ,1,1,,,,,1
1724,,2,4,2,1,,2,2,3,,,,2,,7,,2,73,,2,,2,2,,,,,,,,,1,,,,2,,,,,1,1,4,,6,,62, ,4,2,,,,,3
2543,,1,7,2,2,,3,3,4,,,,2,,7,,2,40,,2,,1,2,,,,,,,,,3,,,,1,,,,,1,2,2,,5,,51, ,2,1,,,,,1
3545,,1,5,2,1,,2,1,2,,,,1,,1,,2,24,,1,,2,2,,,,,,,,,5,,,,2,,,,,1,1,4,,4,,41, ,2,1,,,,,2
3132,,1,4,1,1,,2,3,3,,,,2,,1,,2,65,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,1,4,,1,,11, ,2,1,,,,,1
1452,,1,3,2,2,,3,1,2,,,,2,,1,,1,21,,1,,2,2,,,,,,,,,6,,,,1,,,,,1,2,3,,1,,11, ,1,1,,,,,1
2499,,2,6,2,1,,2,3,4,,,,2,,5,,1,45,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,1,3,,1,,11, ,2,1,,,,,2
4340,,1,4,2,1,,2,1,2,,,,2,,1,,2,40,,1,,2,2,,,,,,,,,9,,,,3,,,,,2,98,98,,98,,98, ,98,98,,,,,5
3651,,2,4,2,1,,2,1,3,,,,2,,5,,2,60,,1,,1,2,,,,,,,,,8,,,,4,,,,,2,98,98,,98,,98, ,98,98,,,,,3
3567,,2,3,2,1,,2,1,1,,,,2,,1,,1,41,,1,,1,2,,,,,,,,,7,,,,3,,,,,3,98,98,,98,,98, ,98,98,,,,,3
3607,,1,2,2,1,,2,1,2,,,,2,,1,,1,11,,1,,1,2,,,,,,,,,5,,,,1,,,,,2,98,98,,98,,98, ,98,98,,,,,1
3848,,2,3,1,1,,2,1,1,,,,2,,1,,1,10,,1,,2,2,,,,,,,,,4,,,,5,,,,,3,98,98,,98,,98, ,98,98,,,,,5
3080,,1,2,2,1,,2,2,2,,,,2,,3,,1,11,,1,,1,2,,,,,,,,,4,,,,2,,,,,3,98,98,,98,,98, ,98,98,,,,,3
4327,,1,4,1,1,,2,2,3,,,,1,,1,,2,76,,1,,2,2,,,,,,,,,4,,,,3,,,,,2,98,98,,98,,98, ,98,98,,,,,5
3537,,2,3,2,1,,2,1,3,,,,1,,1,,2,60,,1,,1,2,,,,,,,,,4,,,,2,,,,,2,98,98,,98,,98, ,98,98,,,,,2
3475,,1,3,1,1,,2,1,3,,,,1,,5,,2,64,,1,,1,2,,,,,,,,,4,,,,2,,,,,2,98,98,,98,,98, ,98,98,,,,,1
1582,,2,2,2,1,,2,1,2,,,,2,,1,,1,50,,1,,1,2,,,,,,,,,4,,,,1,,,,,2,98,98,,98,,98, ,98,98,,,,,3
3104,,1,3,2,1,,2,1,2,,,,2,,1,,2,60,,1,,1,2,,,,,,,,,4,,,,4,,,,,2,98,98,,98,,98, ,98,98,,,,,3
4178,,1,5,2,1,,2,2,3,,,,2,,1,,2,71,,1,,2,2,,,,,,,,,4,,,,1,,,,,2,98,98,,98,,98, ,98,98,,,,,5
4063,,2,2,1,1,,2,1,2,,,,2,,2,,1,15,,1,,2,2,,,,,,,,,4,,,,3,,,,,2,98,98,,98,,98, ,98,98,,,,,5
477,,2,3,2,1,,2,1,2,,,,1,,1,,1,11,,1,,1,2,,,,,,,,,4,,,,4,,,,,2,98,98,,98,,98, ,98,98,,,,,4
164,,1,4,1,1,,2,2,4,,,,1,,1,,1,15,,1,,2,2,,,,,,,,,4,,,,5,,,,,2,98,98,,98,,98, ,98,98,,,,,5
3623,,2,3,1,1,,2,1,2,,,,2,,1,,1,77,,1,,1,2,,,,,,,,,4,,,,5,,,,,2,98,98,,98,,98, ,98,98,,,,,5
100,,1,6,2,2,,4,3,4,,,,2,,5,,2,77,,2,,2,2,,,,,,,,,3,,,,2,,,,,2,98,98,,98,,98, ,98,98,,,,,2
3680,,2,3,2,1,,2,1,2,,,,2,,1,,2,79,,1,,1,2,,,,,,,,,1,,,,3,,,,,3,98,98,,98,,98, ,98,98,,,,,5
549,,1,2,2,1,,2,1,1,,,,2,,1,,1,11,,1,,1,2,,,,,,,,,1,,,,2,,,,,3,98,98,,98,,98, ,98,98,,,,,2
1635,,1,5,2,1,,2,3,4,,,,2,,1,,1,16,,1,,2,2,,,,,,,,,1,,,,1,,,,,3,98,98,,98,,98, ,98,98,,,,,2
4842,,2,3,2,1,,2,1,2,,,,2,,1,,1,11,,1,,2,2,,,,,,,,,1,,,,1,,,,,3,98,98,,98,,98, ,98,98,,,,,1
4438,,1,2,1,1,,1,1,2,,,,2,,1,,1,14,,1,,1,2,,,,,,,,,1,,,,3,,,,,3,98,98,,98,,98, ,98,98,,,,,3
1753,,2,5,1,1,,2,1,2,,,,1,,7,,1,11,,1,,1,2,,,,,,,,,1,,,,3,,,,,2,98,98,,98,,98, ,98,98,,,,,3
1952,,2,4,2,1,,2,1,2,,,,1,,1,,2,64,,1,,1,2,,,,,,,,,1,,,,4,,,,,2,98,98,,98,,98, ,98,98,,,,,4
811,,1,5,2,1,,2,1,2,,,,1,,1,,2,40,,5,,1,2,,,,,,,,,1,,,,2,,,,,2,98,98,,98,,98, ,98,98,,,,,5
4288,,2,3,1,1,,2,1,3,,,,2,,5,,1,77,,1,,2,2,,,,,,,,,1,,,,4,,,,,2,98,98,,98,,98, ,98,98,,,,,4
4855,,1,4,2,1,,2,1,2,,,,2,,3,,1,11,,1,,1,2,,,,,,,,,1,,,,5,,,,,2,98,98,,98,,98, ,98,98,,,,,5
4664,,1,3,2,1,,2,1,3,,,,2,,1,,1,11,,99,,1,2,,,,,,,,,1,,,,1,,,,,2,98,98,,98,,98, ,98,98,,,,,6
2798,,1,4,1,1,,2,2,3,,,,2,,5,,1,64,,1,,1,2,,,,,,,,,1,,,,2,,,,,2,98,98,,98,,98, ,98,98,,,,,2
346,,1,4,2,1,,2,1,2,,,,2,,1,,1,11,,1,,2,2,,,,,,,,,1,,,,3,,,,,2,98,98,,98,,98, ,98,98,,,,,3
3792,,2,4,1,1,,2,1,2,,,,2,,1,,1,21,,1,,1,2,,,,,,,,,1,,,,2,,,,,2,98,98,,98,,98, ,98,98,,,,,3
4714,,2,3,2,1,,2,1,2,,,,2,,1,,2,24,,3,,1,2,,,,,,,,,1,,,,3,,,,,2,98,98,,98,,98, ,98,98,,,,,3
913,,2,5,2,1,,2,1,2,,,,2,,7,,2,41,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,1,4,,9,,999, ,2,1,,,,,1
2702,,1,3,2,1,,2,1,1,,,,2,,1,,1,11,,1,,1,2,,,,,,,,,5,,,,3,,,,,1,1,4,,9,,999, ,2,1,,,,,2
1279,,1,2,1,1,,2,1,2,,,,1,,2,,2,21,,2,,1,2,,,,,,,,,5,,,,3,,,,,1,1,3,,9,,999, ,4,2,,,,,4
476,,2,3,2,1,,2,1,1,,,,2,,1,,2,28,,1,,1,2,,,,,,,,,1,,,,3,,,,,1,1,4,,9,,999, ,1,1,,,,,1
2922,,1,4,2,1,,2,1,2,,,,1,,1,,1,82,,1,,2,2,,,,,,,,,8,,,,2,,,,,1,1,4,,7,,71, ,1,2,,,,,3
2728,,1,5,2,2,,3,2,3,,,,1,,1,,2,77,,1,,1,2,,,,,,,,,4,,,,1,,,,,1,1,3,,7,,72, ,1,1,,,,,1
2574,,1,3,2,1,,2,1,2,,,,2,,1,,2,53,,1,,2,2,,,,,,,,,1,,,,1,,,,,1,1,4,,7,,72, ,3,2,,,,,2
1266,,1,6,2,2,,3,2,3,,,,1,,1,,2,15,,1,,2,2,,,,,,,,,9,,,,3,,,,,1,2,4,,6,,62, ,2,1,,,,,2
2086,,1,5,2,1,,2,1,2,,,,2,,1,,1,50,,1,,1,2,,,,,,,,,8,,,,3,,,,,1,1,3,,6,,62, ,2,1,,,,,2
3670,,1,5,2,1,,2,1,1,,,,2,,1,,1,27,,1,,1,2,,,,,,,,,8,,,,4,,,,,1,2,3,,6,,62, ,3,2,,,,,3
1261,,2,6,2,2,,3,3,3,,,,2,,1,,1,50,,1,,2,2,,,,,,,,,7,,,,2,,,,,1,2,4,,6,,62, ,3,2,,,,,5
2452,,1,3,2,1,,2,1,2,,,,2,,1,,1,10,,1,,1,2,,,,,,,,,7,,,,3,,,,,1,2,4,,6,,62, ,3,1,,,,,3
4300,,1,4,2,1,,2,1,2,,,,2,,1,,2,50,,1,,1,2,,,,,,,,,7,,,,3,,,,,1,1,4,,6,,61, ,3,1,,,,,2
3466,,1,5,2,1,,2,1,2,,,,2,,1,,1,22,,1,,2,2,,,,,,,,,7,,,,4,,,,,1,1,4,,6,,61, ,4,2,,,,,4
3615,,2,4,2,1,,2,1,2,,,,1,,1,,2,70,,1,,2,2,,,,,,,,,6,,,,4,,,,,1,2,4,,6,,69, ,2,2,,,,,4
